Technique;Cities;nMec;Special;Elapsed_Time
DP;3;89348;0;0.000036
DP;4;89348;0;0.000025
DP;5;89348;0;0.000030
DP;6;89348;0;0.000067
DP;7;89348;0;0.000119
DP;8;89348;0;0.000244
DP;9;89348;0;0.000564
DP;10;89348;0;0.001003
DP;11;89348;0;0.000687
DP;12;89348;0;0.001346
DP;13;89348;0;0.003053
DP;14;89348;0;0.007034
DP;15;89348;0;0.015384
DP;16;89348;0;0.033412
DP;17;89348;0;0.087668
DP;18;89348;0;0.236693
DP;3;89348;1;0.000042
DP;4;89348;1;0.000019
DP;5;89348;1;0.000024
DP;6;89348;1;0.000051
DP;7;89348;1;0.000109
DP;8;89348;1;0.000281
DP;9;89348;1;0.000653
DP;10;89348;1;0.001226
DP;11;89348;1;0.002734
DP;12;89348;1;0.005998
DP;13;89348;1;0.013415
DP;14;89348;1;0.016567
DP;15;89348;1;0.018433
DP;16;89348;1;0.035553
DP;17;89348;1;0.094325
DP;18;89348;1;0.247235

BF;3;89348;0;0.000004
BF;4;89348;0;0.000004
BF;5;89348;0;0.000007
BF;6;89348;0;0.000017
BF;7;89348;0;0.000066
BF;8;89348;0;0.000323
BF;9;89348;0;0.002529
BF;10;89348;0;0.024333
BF;11;89348;0;0.057666
BF;12;89348;0;0.647954
BF;13;89348;0;7.872102
BF;14;89348;0;104.550461
BF;15;89348;0;1564.572214
BF;3;89348;1;0.000005
BF;4;89348;1;0.000005
BF;5;89348;1;0.000007
BF;6;89348;1;0.000017
BF;7;89348;1;0.000064
BF;8;89348;1;0.000317
BF;9;89348;1;0.002628
BF;10;89348;1;0.024228
BF;11;89348;1;0.072358
BF;12;89348;1;0.760605
BF;13;89348;1;9.816221
BF;14;89348;1;126.384343
BF;15;89348;1;2092.223427

RANDOM;12;89348;0;160.945729
RANDOM;15;89348;0;212.168672
RANDOM;18;89348;0;273.560917
